start_time,end_time,num_points
618.0,618.9000000000001,10
619.0,619.4000000000001,5
619.5,624.4000000000001,50
624.5,625.9000000000001,15
626.0,629.4000000000001,35
629.5,629.9000000000001,5
630.0,630.9000000000001,10
631.0,631.4000000000001,5
631.5,631.9000000000001,5
632.0,633.4000000000001,15
633.5,633.9000000000001,5
634.0,634.4000000000001,5
634.5,634.9000000000001,5
635.0,635.4000000000001,5
635.5,635.9000000000001,5
636.0,637.4000000000001,15
637.5,639.4000000000001,20
639.5,640.4000000000001,10
640.5,642.9000000000001,25
643.0,644.4000000000001,15
644.5,645.9000000000001,15
646.0,646.4000000000001,5
646.5,647.9000000000001,15
648.0,648.9000000000001,10
649.0,654.4000000000001,55
654.5,655.4000000000001,10
655.5,659.4000000000001,40
659.5,659.9000000000001,5
660.0,660.9000000000001,10
661.0,661.9000000000001,10
662.0,662.9000000000001,10
663.0,663.9000000000001,10
664.0,665.9000000000001,20
666.0,667.4000000000001,15
667.5,669.4000000000001,20
669.5,669.9000000000001,5
670.0,670.4000000000001,5
670.5,671.4000000000001,10
671.5,675.9000000000001,45
676.0,677.4000000000001,15
677.5,679.9000000000001,25
680.0,681.4000000000001,15
681.5,684.9000000000001,35
685.0,687.9000000000001,30
688.0,688.4000000000001,5
688.5,689.4000000000001,10
689.5,689.9000000000001,5
690.0,690.4000000000001,5
690.5,690.9000000000001,5
691.0,692.4000000000001,15
692.5,693.4000000000001,10
693.5,693.9000000000001,5
694.0,694.9000000000001,10
695.0,696.4000000000001,15
696.5,697.4000000000001,10
697.5,699.4000000000001,20
699.5,699.9000000000001,5
700.0,700.9000000000001,10
701.0,701.4000000000001,5
701.5,701.9000000000001,5
702.0,703.4000000000001,15
703.5,704.9000000000001,15
705.0,705.9000000000001,10
706.0,706.9000000000001,10
707.0,707.4000000000001,5
707.5,710.9000000000001,35
711.0,712.4000000000001,15
712.5,713.9000000000001,15
714.0,715.4000000000001,15
715.5,718.4000000000001,30
718.5,718.9000000000001,5
719.0,722.4000000000001,35
722.5,722.9000000000001,5
723.0,726.9000000000001,40
727.0,727.9000000000001,10
728.0,735.4000000000001,75
735.5,735.9000000000001,5
736.0,740.9000000000001,50
741.0,741.4000000000001,5
741.5,741.9000000000001,5
742.0,742.4000000000001,5
742.5,742.9000000000001,5
743.0,743.4000000000001,5
743.5,743.9000000000001,5
744.0,744.9000000000001,10
745.0,745.4000000000001,5
745.5,746.9000000000001,15
747.0,747.4000000000001,5
747.5,748.4000000000001,10
748.5,748.9000000000001,5
749.0,749.4000000000001,5
749.5,749.9000000000001,5
750.0,750.4000000000001,5
750.5,750.9000000000001,5
751.0,751.9000000000001,10
752.0,752.4000000000001,5
752.5,753.4000000000001,10
753.5,753.9000000000001,5
754.0,754.4000000000001,5
754.5,754.9000000000001,5
755.0,755.4000000000001,5
755.5,756.4000000000001,10
756.5,760.9000000000001,45
761.0,761.9000000000001,10
762.0,762.9000000000001,10
763.0,763.4000000000001,5
763.5,763.9000000000001,5
764.0,765.4000000000001,15
765.5,766.4000000000001,10
766.5,767.9000000000001,15
768.0,769.4000000000001,15
769.5,769.9000000000001,5
770.0,770.4000000000001,5
770.5,770.9000000000001,5
771.0,774.4000000000001,35
774.5,775.4000000000001,10
775.5,776.9000000000001,15
777.0,777.4000000000001,5
777.5,778.9000000000001,15
779.0,780.4000000000001,15
780.5,781.9000000000001,15
782.0,782.4000000000001,5
782.5,783.4000000000001,10
783.5,783.9000000000001,5
784.0,784.9000000000001,10
785.0,786.9000000000001,20
787.0,787.4000000000001,5
787.5,788.4000000000001,10
788.5,788.9000000000001,5
789.0,789.4000000000001,5
789.5,789.9000000000001,5
790.0,791.4000000000001,15
791.5,791.9000000000001,5
792.0,792.4000000000001,5
792.5,793.4000000000001,10
793.5,801.4000000000001,80
801.5,802.9000000000001,15
803.0,808.9000000000001,60
809.0,810.4000000000001,15
810.5,811.9000000000001,15
812.0,812.9000000000001,10
813.0,813.9000000000001,10
814.0,814.9000000000001,10
815.0,815.4000000000001,5
815.5,816.9000000000001,15
817.0,817.9000000000001,10
818.0,818.9000000000001,10
819.0,823.4000000000001,45
823.5,823.9000000000001,5
824.0,824.4000000000001,5
824.5,826.4000000000001,20
826.5,827.9000000000001,15
828.0,828.9000000000001,10
829.0,830.9000000000001,20
831.0,831.4000000000001,5
831.5,834.4000000000001,30
834.5,834.9000000000001,5
835.0,836.4000000000001,15
836.5,837.9000000000001,15
838.0,838.9000000000001,10
839.0,840.4000000000001,15
840.5,843.4000000000001,30
843.5,844.4000000000001,10
844.5,846.9000000000001,25
847.0,847.4000000000001,5
847.5,856.9000000000001,95
857.0,858.4000000000001,15
858.5,864.9000000000001,65
865.0,865.4000000000001,5
865.5,866.9000000000001,15
867.0,867.9000000000001,10
868.0,869.4000000000001,15
869.5,869.9000000000001,5
870.0,870.9000000000001,10
871.0,872.4000000000001,15
872.5,872.9000000000001,5
873.0,873.9000000000001,10
874.0,874.4000000000001,5
874.5,874.9000000000001,5
875.0,875.9000000000001,10
876.0,876.9000000000001,10
877.0,878.4000000000001,15
878.5,879.9000000000001,15
880.0,880.9000000000001,10
881.0,881.9000000000001,10
882.0,882.4000000000001,5
882.5,884.9000000000001,25
885.0,886.4000000000001,15
886.5,890.4000000000001,40
890.5,891.4000000000001,10
891.5,894.9000000000001,35
895.0,895.9000000000001,10
896.0,898.9000000000001,30
899.0,899.4000000000001,5
899.5,901.9,25
902.0,902.4,5
902.5,902.9,5
903.0,904.4,15
904.5,906.9,25
907.0,907.9,10
908.0,908.4,5
908.5,909.4,10
909.5,911.9,25
912.0,912.9,10
913.0,915.4,25
915.5,916.4,10
916.5,920.4,40
920.5,921.9,15
